iteration,image,mode,startup_ms
44,python_3.11-slim,warm,1317.11
45,python_3.11-slim,warm,1381.50
46,python_3.11-slim,warm,1304.07
47,python_3.11-slim,warm,1179.89
48,python_3.11-slim,warm,1183.25
49,python_3.11-slim,warm,1132.37
50,python_3.11-slim,warm,1311.18
1,python_3.11-slim,cold,1561.33
2,python_3.11-slim,cold,1614.03
3,python_3.11-slim,cold,1576.28
4,python_3.11-slim,cold,1823.88
5,python_3.11-slim,cold,1748.61
6,python_3.11-slim,cold,1523.16
7,python_3.11-slim,cold,1615.85
8,python_3.11-slim,cold,1619.08
9,python_3.11-slim,cold,5095.59
10,python_3.11-slim,cold,1733.42
11,python_3.11-slim,cold,1619.96
12,python_3.11-slim,cold,1903.98
13,python_3.11-slim,cold,1729.35
14,python_3.11-slim,cold,1820.21
15,python_3.11-slim,cold,1974.71
16,python_3.11-slim,cold,1760.78
17,python_3.11-slim,cold,1726.23
18,python_3.11-slim,cold,1928.44
19,python_3.11-slim,cold,1562.13
20,python_3.11-slim,cold,1624.13
