iteration,image,mode,startup_ms
46,python_3.11-slim,warm,1552.82
47,python_3.11-slim,warm,2904.47
48,python_3.11-slim,warm,1121.26
49,python_3.11-slim,warm,1612.16
50,python_3.11-slim,warm,1287.55
1,python_3.11-slim,cold,974.11
2,python_3.11-slim,cold,694.92
3,python_3.11-slim,cold,685.71
4,python_3.11-slim,cold,732.86
5,python_3.11-slim,cold,927.00
6,python_3.11-slim,cold,1034.03
7,python_3.11-slim,cold,815.26
8,python_3.11-slim,cold,822.11
9,python_3.11-slim,cold,652.70
10,python_3.11-slim,cold,773.01
11,python_3.11-slim,cold,885.81
12,python_3.11-slim,cold,768.60
13,python_3.11-slim,cold,1404.00
14,python_3.11-slim,cold,646.34
15,python_3.11-slim,cold,735.19
16,python_3.11-slim,cold,797.61
17,python_3.11-slim,cold,665.56
18,python_3.11-slim,cold,776.40
19,python_3.11-slim,cold,1100.91
20,python_3.11-slim,cold,739.60
